instancia,runs,FO1_media,FO1_mediana,Tempo_media,Tempo_mediana,Tempo_min,Tempo_max,Tempo_dp
xlarge,3,116964.73,116964.73,680.71,674.14,669.74,698.26,12.54
xxlarge,3,232018.18,232018.18,4597.41,3631.56,3516.03,6644.65,1448.38
